Datum,total number of Likes,Daily new Likes,Daily new Dislikes,Daily Users' Interactions
2017-06-17,9772,1,0,100
2017-06-18,9772,1,0,17
2017-06-19,9773,0,0,52
2017-06-20,9771,1,3,36
2017-06-21,9770,0,1,26
2017-06-22,9770,0,0,12
2017-06-23,9768,0,2,33
2017-06-24,9769,1,0,12
2017-06-25,9768,0,1,10
2017-06-26,9768,0,0,9
2017-06-27,9768,0,0,32
2017-06-28,9770,4,2,84
2017-06-29,9769,1,1,87
2017-06-30,9766,0,3,56
2017-07-01,9763,1,4,24
2017-07-02,9767,4,0,15
2017-07-03,9768,3,2,52
2017-07-04,9770,3,1,44
2017-07-05,9768,2,4,39
2017-07-06,9768,1,1,23
2017-07-07,9765,0,3,55
2017-07-08,9766,1,0,32
2017-07-09,9765,1,2,9
2017-07-10,9765,1,1,6
2017-07-11,9764,1,2,35
2017-07-12,9765,1,0,44
2017-07-13,9766,3,2,22
2017-07-14,9766,1,1,11
2017-07-15,9766,0,0,3
2017-07-16,9766,2,2,6
2017-07-17,9765,0,1,30
2017-07-18,9764,0,1,55
2017-07-19,9764,0,0,65
2017-07-20,9765,2,1,25
2017-07-21,9766,2,1,51
2017-07-22,9767,2,1,22
2017-07-23,9768,3,2,14
2017-07-24,9770,4,2,64
2017-07-25,9774,4,0,30
2017-07-26,9773,0,1,57
2017-07-27,9770,0,3,57
2017-07-28,9770,2,1,42
2017-07-29,9770,0,0,8
2017-07-30,9771,1,0,5
2017-07-31,9774,3,0,8
2017-08-01,9776,2,0,19
2017-08-02,9779,3,0,37
2017-08-03,9776,0,3,16
2017-08-04,9776,0,0,22
2017-08-05,9777,1,0,7
2017-08-06,9775,0,2,4
2017-08-07,9777,3,1,37
2017-08-08,9776,0,1,11
2017-08-09,9777,1,0,8
2017-08-10,9777,0,0,21
2017-08-11,9779,2,0,5
2017-08-12,9778,1,2,2
2017-08-13,9779,2,1,4
2017-08-14,9781,2,0,22
2017-08-15,9781,0,0,14
2017-08-16,9782,2,1,9
2017-08-17,9783,1,0,65
2017-08-18,9783,2,2,47
2017-08-19,9785,2,0,25
2017-08-20,9784,1,2,19
2017-08-21,9784,1,1,9
2017-08-22,9784,0,0,13
2017-08-23,9785,1,0,75
2017-08-24,9785,1,1,57
2017-08-25,9783,0,2,38
2017-08-26,9786,3,0,41
2017-08-27,9789,2,0,179
2017-08-28,9790,2,1,86
2017-08-29,9789,0,1,72
2017-08-30,9791,3,1,46
2017-08-31,9793,3,1,49
2017-09-01,9793,1,1,40
2017-09-02,9794,1,0,9
2017-09-03,9792,0,2,29
2017-09-04,9793,2,1,15
2017-09-05,9794,2,1,51
2017-09-06,9796,2,0,73
2017-09-07,9797,1,0,43
2017-09-08,9801,4,0,57
2017-09-09,9800,1,2,12
2017-09-10,9798,1,3,18
2017-09-11,9799,1,0,37
2017-09-12,9802,4,1,54
2017-09-13,9803,2,1,63
2017-09-14,9813,10,0,119
2017-09-15,9814,2,1,64
2017-09-16,9813,0,1,37
2017-09-17,9812,0,1,44
2017-09-18,9813,1,0,14
2017-09-19,9814,2,1,16
2017-09-20,9813,0,1,9
2017-09-21,9814,1,0,23
2017-09-22,9813,0,1,31
2017-09-23,9814,2,1,12
2017-09-24,9813,0,0,16
2017-09-25,9815,4,2,164
2017-09-26,9814,0,1,40
2017-09-27,9815,1,0,63
2017-09-28,9815,4,3,98
2017-09-29,9817,3,1,28
2017-09-30,9816,1,2,40
2017-10-01,9817,2,1,44
2017-10-02,9818,2,1,34
2017-10-03,9821,3,0,16
2017-10-04,9820,1,2,42
2017-10-05,9821,1,0,34
2017-10-06,9820,1,1,22
2017-10-07,9822,3,1,5
2017-10-08,9823,2,1,5
2017-10-09,9822,0,1,98
2017-10-10,9822,1,1,90
2017-10-11,9822,1,1,30
2017-10-12,9822,1,1,24
2017-10-13,9822,1,1,39
2017-10-14,9822,2,1,54
2017-10-15,9823,3,2,17
2017-10-16,9826,4,1,54
2017-10-17,9825,0,1,55
2017-10-18,9826,1,0,56
2017-10-19,9828,2,0,61
2017-10-20,9829,2,1,54
2017-10-21,9830,3,2,22
2017-10-22,9832,2,0,13
2017-10-23,9834,3,1,5
2017-10-24,9836,2,1,23
2017-10-25,9833,0,3,43
2017-10-26,9833,1,1,56
2017-10-27,9830,0,3,110
2017-10-28,9829,2,3,20
2017-10-29,9827,0,2,8
2017-10-30,9825,0,2,12
2017-10-31,9826,1,0,23
2017-11-01,9827,1,0,15
2017-11-02,9827,1,1,25
2017-11-03,9830,4,1,44
2017-11-04,9831,1,0,13
2017-11-05,9832,1,0,11
2017-11-06,9832,3,2,62
2017-11-07,9830,0,2,60
2017-11-08,9834,4,0,25
2017-11-09,9833,1,2,7
2017-11-10,9837,4,0,362
2017-11-11,9837,0,0,131
2017-11-12,9836,0,0,47
2017-11-13,9835,1,2,49
2017-11-14,9835,0,0,10
2017-11-15,9839,5,1,619
2017-11-16,9843,5,1,281
2017-11-17,9843,0,0,160
2017-11-18,9841,1,3,97
2017-11-19,9839,0,2,39
2017-11-20,9840,2,0,124
2017-11-21,9842,2,0,54
2017-11-22,9843,2,1,61
2017-11-23,9844,1,0,30
2017-11-24,9845,2,1,33
2017-11-25,9848,3,0,39
2017-11-26,9849,3,1,26
2017-11-27,9849,0,0,52
2017-11-28,9851,3,1,39
2017-11-29,9851,2,2,10
2017-11-30,9850,1,2,30
2017-12-01,9849,1,2,84
2017-12-02,9850,2,1,48
2017-12-03,9849,0,1,50
2017-12-04,9852,4,1,104
2017-12-05,9854,2,0,89
2017-12-06,9857,3,0,90
2017-12-07,9860,5,1,117
2017-12-08,9862,4,1,72
2017-12-09,9861,1,2,38
2017-12-10,9861,0,0,23
2017-12-11,9859,0,2,135
2017-12-12,9860,1,0,74
2017-12-13,9863,3,0,33
2017-12-14,9864,2,1,77
2017-12-15,9864,1,1,108
2017-12-16,9866,2,1,149
2017-12-17,9868,3,1,69
2017-12-18,9869,3,2,98
2017-12-19,9869,0,0,38
2017-12-20,9870,1,0,52
2017-12-21,9871,2,1,88
2017-12-22,9871,0,0,34
2017-12-23,9872,1,0,105
2017-12-24,9876,4,0,54
2017-12-25,9873,1,4,15
2017-12-26,9874,1,0,11
2017-12-27,9869,0,4,7
2017-12-28,9870,1,0,30
2017-12-29,9867,0,3,55
2017-12-30,9867,1,1,112
