Campaign;Clicks;Costs (in dollars);Costs (indollars);Month
Lebensmittel_BMM;0;;0.0;01.04.2016
Öffentlichkeit;1133;;571.09;01.02.2016
Öffentlichkeit;779;;337.79;01.06.2016
Kinder_EX;0;;0.0;01.06.2016
Aktionen_BMM;0;;0.0;01.08.2016
Ehrenamt_BMM;0;;0.0;01.03.2016
Ehrenamt_BMM;0;;0.0;01.04.2016
Aktionen_EX;0;;0.0;01.02.2016
Aktionen_EX;0;;0.0;01.11.2016
Aktionen_EX;0;;0.0;01.12.2016
Aktionen_BMM;0;;0.0;01.07.2016
Aktionen_EX;0;;0.0;01.09.2016
Fundraising;0;;0.0;01.04.2016
Fundraising;0;;0.0;01.05.2016
Fundraising;0;;0.0;01.08.2016
Fundraising;0;;0.0;01.03.2016
Fundraising;0;;0.0;01.06.2016
Eigenname_EX;0;;0.0;01.04.2016
Ehrenamt_EX;0;;0.0;01.02.2016
Ehrenamt_EX;0;;0.0;01.06.2016
Ehrenamt_EX;0;;0.0;01.12.2016
Spenden_EX;0;;0.0;01.01.2016
Spenden_EX;0;;0.0;01.04.2016
Spenden_EX;0;;0.0;01.07.2016
Kinder_BMM;0;;0.0;01.09.2016
Eigenname_EX;0;;0.0;01.03.2016
Lebensmittel_EX;0;;0.0;01.02.2016
Lebensmittel_EX;0;;0.0;01.05.2016
Spenden_EX;0;;0.0;01.11.2016
Kinder_BMM;0;;0.0;01.01.2016
Kinder_BMM;0;;0.0;01.11.2016
Kinder_BMM;0;;0.0;01.12.2016
Lebensmittel_BMM;0;0.0;;01.03.2017
Lebensmittel_BMM;23;21.17;;01.09.2017
Kinder_EX;0;0.0;;01.05.2017
Eigenname_BMM;291;155.02;;01.12.2017
Lebensmittel_BMM;11;11. Mai;;01.10.2017
Lebensmittel_BMM;7;05. Jul;;01.12.2017
Kinder_EX;0;0.0;;01.04.2017
Ehrenamt_BMM;0;0.0;;01.03.2017
Ehrenamt_BMM;132;181.48;;01.09.2017
Ehrenamt_BMM;97;141.63;;01.12.2017
FRUIT LOGISTICA 2018;0;0.0;;01.06.2017
FRUIT LOGISTICA 2018;0;0.0;;01.11.2017
Aktionen_BMM;0;0.0;;01.02.2017
Aktionen_BMM;15;Okt 89;;01.08.2017
Aktionen_EX;0;0.0;;01.01.2017
Aktionen_EX;0;0.0;;01.05.2017
Ehrenamt_BMM;0;0.0;;01.02.2017
Ehrenamt_BMM;13;17.32;;01.07.2017
